time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,city
2021-01-01T16:00,17.5,47,0.0,991.1,5.9,104,Delhi
2021-01-01T17:00,12.9,64,0.0,990.6,9.1,108,Delhi
2021-01-01T18:00,12.0,69,0.0,990.8,8.9,104,Delhi
2021-01-01T19:00,11.9,71,0.0,991.2,6.9,96,Delhi
2021-01-01T20:00,10.9,77,0.0,991.4,7.2,108,Delhi
2021-01-01T21:00,10.8,78,0.0,991.6,7.0,111,Delhi
2021-01-01T22:00,10.5,79,0.0,991.7,8.1,103,Delhi
2021-01-01T23:00,10.3,79,0.0,991.7,8.2,105,Delhi
2021-01-01T00:00,25.0,69,0.0,1012.2,16.9,50,Chennai
2021-01-01T01:00,25.0,67,0.0,1011.5,17.3,48,Chennai
2021-01-01T02:00,24.5,67,0.0,1010.7,14.5,48,Chennai
2021-01-01T03:00,24.9,66,0.0,1010.3,16.1,51,Chennai
2021-01-01T04:00,24.2,68,0.0,1010.3,12.7,47,Chennai
2021-01-01T05:00,24.1,78,0.0,1010.6,10.2,51,Chennai
2021-01-01T06:00,24.4,78,0.0,1011.2,13.5,48,Chennai
2021-01-01T07:00,24.9,75,0.0,1012.4,14.8,47,Chennai
2021-01-01T08:00,25.5,71,0.1,1013.4,19.5,56,Chennai
2021-01-01T09:00,26.4,65,0.0,1013.7,21.2,55,Chennai
2021-01-01T10:00,26.8,60,0.0,1013.8,21.0,55,Chennai
2021-01-01T11:00,26.9,61,0.0,1013.4,20.8,56,Chennai
2021-01-01T12:00,27.0,59,0.0,1012.6,22.0,50,Chennai
2021-01-01T13:00,26.9,61,0.0,1012.0,19.6,46,Chennai
2021-01-01T14:00,26.8,61,0.0,1011.3,19.6,41,Chennai
2021-01-01T15:00,26.5,64,0.0,1010.9,18.6,43,Chennai
2021-01-01T16:00,26.1,64,0.0,1010.9,16.3,43,Chennai
2021-01-01T17:00,25.6,69,0.0,1010.7,13.5,29,Chennai
2021-01-01T18:00,25.4,71,0.0,1011.0,13.9,25,Chennai
2021-01-01T19:00,25.3,72,0.0,1011.9,15.7,32,Chennai
2021-01-01T20:00,25.1,72,0.0,1012.5,16.4,33,Chennai
2021-01-01T21:00,25.0,71,0.0,1012.6,15.8,24,Chennai
2021-01-01T22:00,24.7,72,0.0,1012.4,12.8,22,Chennai
2021-01-01T23:00,24.6,73,0.0,1012.2,13.5,29,Chennai
2021-01-01T00:00,14.9,76,0.0,1014.6,8.0,8,Kolkata
2021-01-01T01:00,14.8,76,0.0,1014.2,9.0,5,Kolkata
2021-01-01T02:00,14.4,79,0.0,1013.9,10.1,2,Kolkata
2021-01-01T03:00,14.1,82,0.0,1013.8,9.4,360,Kolkata
2021-01-01T04:00,13.5,85,0.0,1014.0,7.9,357,Kolkata
2021-01-01T05:00,12.9,88,0.0,1014.3,7.6,352,Kolkata
2021-01-01T06:00,12.6,91,0.0,1015.2,7.4,346,Kolkata
2021-01-01T07:00,14.6,81,0.0,1016.4,9.8,343,Kolkata
2021-01-01T08:00,17.4,70,0.0,1017.2,9.2,349,Kolkata
2021-01-01T09:00,20.2,60,0.0,1017.3,9.8,352,Kolkata
2021-01-01T10:00,22.4,51,0.0,1016.7,10.5,352,Kolkata
2021-01-01T11:00,23.8,45,0.0,1015.8,10.9,354,Kolkata
2021-01-01T12:00,24.7,42,0.0,1014.7,10.6,350,Kolkata
2021-01-01T13:00,25.2,40,0.0,1013.5,10.7,346,Kolkata
2021-01-01T14:00,25.2,39,0.0,1012.9,10.8,345,Kolkata
2021-01-01T15:00,24.7,40,0.0,1012.8,10.2,342,Kolkata
2021-01-01T16:00,21.8,55,0.0,1012.9,6.2,339,Kolkata
2021-01-01T17:00,18.4,66,0.0,1012.9,9.5,323,Kolkata
2021-01-01T18:00,19.1,62,0.0,1013.5,6.5,341,Kolkata
2021-01-01T19:00,18.1,67,0.0,1013.6,6.5,19,Kolkata
2021-01-01T20:00,17.1,71,0.0,1014.0,7.3,9,Kolkata
2021-01-01T21:00,16.3,75,0.0,1014.1,7.2,360,Kolkata
2021-01-01T22:00,14.3,86,0.0,1014.1,9.7,2,Kolkata
2021-01-01T23:00,14.3,85,0.0,1014.3,8.5,12,Kolkata
2021-01-01T00:00,16.9,96,0.0,913.3,14.1,87,Bengaluru
2021-01-01T01:00,16.7,98,0.0,912.8,14.2,83,Bengaluru
2021-01-01T02:00,17.3,94,0.0,912.5,16.3,82,Bengaluru
2021-01-01T03:00,17.5,92,0.0,912.1,16.5,80,Bengaluru
2021-01-01T04:00,17.3,92,0.0,911.8,14.4,77,Bengaluru
2021-01-01T05:00,16.8,97,0.0,911.8,12.9,77,Bengaluru
2021-01-01T06:00,16.3,97,0.0,912.3,11.7,81,Bengaluru
2021-01-01T07:00,17.4,89,0.0,913.7,15.1,78,Bengaluru
2021-01-01T08:00,18.6,77,0.0,914.7,18.2,72,Bengaluru
2021-01-01T09:00,20.4,65,0.0,915.4,17.7,73,Bengaluru
2021-01-01T10:00,22.0,53,0.0,915.7,18.0,74,Bengaluru
2021-01-01T11:00,23.3,50,0.0,915.8,17.7,77,Bengaluru
2021-01-01T12:00,24.2,49,0.0,915.0,18.4,79,Bengaluru
2021-01-01T13:00,24.8,46,0.0,914.3,18.7,79,Bengaluru
2021-01-01T14:00,25.0,46,0.0,913.6,19.0,80,Bengaluru
2021-01-01T15:00,24.4,46,0.0,913.1,19.1,79,Bengaluru
2021-01-01T16:00,23.7,46,0.0,913.0,17.9,81,Bengaluru
2021-01-01T17:00,22.9,50,0.0,912.8,13.7,87,Bengaluru
2021-01-01T18:00,20.9,57,0.0,912.5,9.1,97,Bengaluru
2021-01-01T19:00,19.8,67,0.0,913.2,12.0,99,Bengaluru
2021-01-01T20:00,18.9,76,0.0,913.9,11.9,93,Bengaluru
2021-01-01T21:00,18.4,79,0.0,914.1,12.2,90,Bengaluru
2021-01-01T22:00,18.0,79,0.0,914.2,13.4,84,Bengaluru
2021-01-01T23:00,17.0,85,0.0,913.8,15.3,75,Bengaluru
